order_id,customer_id,order_date,items,shipping_address,total_amount
ORD0000023,CUST000047,2023-10-28,"[{""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}]","{""street"": ""3920 Main St"", ""city"": ""Austin"", ""zip"": ""24495""}",69.84
ORD0000024,CUST000063,2023-01-26,"[{""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}]","{""street"": ""7315 Main St"", ""city"": ""Chicago"", ""zip"": ""91996""}",963.15
ORD0000025,CUST000026,2023-11-11,"[{""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": 176.2}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}]","{""street"": ""3247 Main St"", ""city"": ""San Francisco"", ""zip"": ""20169""}",590.33
ORD0000026,CUST000073,2023-07-29,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}, {""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}]","{""street"": ""2180 Main St"", ""city"": ""Chicago"", ""zip"": ""86031""}",2682.15
ORD0000027,CUST000078,2023-10-23,"[{""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}, {""product_id"": ""PROD00003"", ""quantity"": 1, ""price"": 370.91}]","{""street"": ""8458 Main St"", ""city"": ""Seattle"", ""zip"": ""70050""}",1112.73
ORD0000028,CUST000001,2023-01-27,"[{""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}]","{""street"": ""2796 Main St"", ""city"": ""Chicago"", ""zip"": ""25933""}",1040.6
ORD0000029,CUST000092,2023-01-28,"[{""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": null}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}]","{""street"": ""3075 Main St"", ""city"": ""Austin"", ""zip"": ""30353""}",1294.29
ORD0000030,CUST000070,2023-08-02,"[{""product_id"": ""PROD00006"", ""quantity"": 2, ""price"": 428.33}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""1222 Main St"", ""city"": ""New York"", ""zip"": ""64113""}",1128.46
ORD0000031,CUST000048,2023-04-21,"[{""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}, {""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""4683 Main St"", ""city"": ""New York"", ""zip"": ""84904""}",526.96
ORD0000032,CUST000033,2023-09-09,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}]","{""street"": ""7338 Main St"", ""city"": ""Chicago"", ""zip"": ""56209""}",765.3
ORD0000033,CUST000041,2023-04-21,"[{""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}]","{""street"": ""4560 Main St"", ""city"": ""Seattle"", ""zip"": ""74614""}",279.36
ORD0000034,CUST000048,2023-05-06,"[{""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}, {""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""4683 Main St"", ""city"": ""New York"", ""zip"": ""84904""}",1425.88
ORD0000035,CUST000074,2023-07-04,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}]","{""street"": ""5563 Main St"", ""city"": ""Austin"", ""zip"": ""29848""}",2050.53
ORD0000036,CUST000024,2023-05-24,"[{""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00006"", ""quantity"": 3, ""price"": 428.33}]","{""street"": ""1104 Main St"", ""city"": ""Chicago"", ""zip"": ""86989""}",1472.56
ORD0000037,CUST000058,2023-04-29,"[{""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": ""NaN""}]","{""street"": ""1735 Main St"", ""city"": ""New York"", ""zip"": ""42921""}",nan
ORD0000038,CUST000008,2023-12-09,"[{""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""8148 Main St"", ""city"": ""Austin"", ""zip"": ""74922""}",700.13
ORD0000039,CUST000041,2023-09-01,"[{""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": 176.2}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}]","{""street"": ""4560 Main St"", ""city"": ""Seattle"", ""zip"": ""74614""}",954.83
ORD0000040,CUST000005,2023-02-01,"[{""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""4864 Main St"", ""city"": ""Austin"", ""zip"": ""33253""}",121.35
ORD0000041,CUST000090,2023-12-24,"[{""product_id"": ""PROD00003"", ""quantity"": 1, ""price"": 370.91}, {""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": 176.2}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""6901 Main St"", ""city"": ""San Francisco"", ""zip"": ""16937""}",1142.21
ORD0000042,CUST000094,2023-09-04,"[{""product_id"": ""PROD00006"", ""quantity"": 2, ""price"": 428.33}]","{""street"": ""4391 Main St"", ""city"": ""Austin"", ""zip"": ""36565""}",856.66
ORD0000043,CUST000009,2023-12-25,"[{""product_id"": ""PROD00005"", ""quantity"": 1, ""price"": 135.9}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}, {""product_id"": ""PROD00006"", ""quantity"": 3, ""price"": 428.33}, {""product_id"": ""PROD00007"", ""quantity"": 3, ""price"": 400.44}]","{""street"": ""375 Main St"", ""city"": ""New York"", ""zip"": ""17837""}",3195.56
ORD0000044,CUST000032,2023-08-16,"[{""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}, {""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}]","{""street"": ""1141 Main St"", ""city"": ""New York"", ""zip"": ""87607""}",568.03
ORD0000045,CUST000003,2023-02-24,"[{""product_id"": ""PROD00006"", ""quantity"": 3, ""price"": 428.33}, {""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}]","{""street"": ""6081 Main St"", ""city"": ""New York"", ""zip"": ""89893""}",1645.25
ORD0000046,CUST000090,2023-04-01,"[{""product_id"": ""PROD00010"", ""quantity"": 1, ""price"": 176.2}, {""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": ""NaN""}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}]","{""street"": ""6901 Main St"", ""city"": ""San Francisco"", ""zip"": ""16937""}",nan
ORD0000047,CUST000007,2023-05-26,"[{""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00006"", ""quantity"": 2, ""price"": 428.33}]","{""street"": ""2932 Main St"", ""city"": ""San Francisco"", ""zip"": ""70625""}",1044.23
ORD0000048,CUST000047,2023-12-08,"[{""product_id"": ""PROD00010"", ""quantity"": 1, ""price"": 176.2}, {""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": 176.2}]","{""street"": ""3920 Main St"", ""city"": ""Austin"", ""zip"": ""24495""}",1443.86
ORD0000049,CUST000044,2023-06-07,"[{""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""5044 Main St"", ""city"": ""New York"", ""zip"": ""70028""}",271.8
ORD0000050,CUST000086,2023-03-03,"[{""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}]","{""street"": ""6176 Main St"", ""city"": ""Austin"", ""zip"": ""54634""}",198.79
ORD0000051,CUST000055,2023-08-25,"[{""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00007"", ""quantity"": 3, ""price"": 400.44}, {""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}]","{""street"": ""1566 Main St"", ""city"": ""San Francisco"", ""zip"": ""15564""}",1653.54
ORD0000052,CUST000067,2023-11-29,"[{""product_id"": ""PROD00006"", ""quantity"": 3, ""price"": 428.33}, {""product_id"": ""PROD00002"", ""quantity"": 2, ""price"": 59.11}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}]","{""street"": ""4815 Main St"", ""city"": ""Chicago"", ""zip"": ""74359""}",1612.73
ORD0000053,CUST000017,2023-12-08,"[{""product_id"": ""PROD00007"", ""quantity"": 2, ""price"": 400.44}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}, {""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00005"", ""quantity"": 1, ""price"": 135.9}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}]","{""street"": ""1329 Main St"", ""city"": ""New York"", ""zip"": ""10614""}",1304.81
ORD0000054,CUST000065,2023-10-31,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00003"", ""quantity"": 1, ""price"": 370.91}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": ""free""}, {""product_id"": ""PROD00010"", ""quantity"": 3, ""price"": 176.2}]","{""street"": ""9102 Main St"", ""city"": ""San Francisco"", ""zip"": ""38123""}",1317.85
ORD0000055,CUST000044,2023-08-09,"[{""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""5044 Main St"", ""city"": ""New York"", ""zip"": ""70028""}",352.7
ORD0000056,CUST000027,2023-11-10,"[{""product_id"": ""PROD00007"", ""quantity"": 1, ""price"": 400.44}]","{""street"": ""6503 Main St"", ""city"": ""Seattle"", ""zip"": ""60739""}",400.44
ORD0000057,CUST000038,2023-04-13,"[{""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}]","{""street"": ""2560 Main St"", ""city"": ""Chicago"", ""zip"": ""32792""}",292.95
ORD0000058,CUST000083,2023-10-21,"[{""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": ""free""}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}]","{""street"": ""4343 Main St"", ""city"": ""Chicago"", ""zip"": ""90952""}",413.02
ORD0000059,CUST000022,2023-04-07,"[{""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}]","{""street"": ""6464 Main St"", ""city"": ""Seattle"", ""zip"": ""53734""}",1177.58
ORD0000060,CUST000049,2023-07-09,"[{""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 2, ""price"": 69.84}]","{""street"": ""1256 Main St"", ""city"": ""New York"", ""zip"": ""14318""}",261.03
ORD0000061,CUST000062,2023-02-20,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}, {""product_id"": ""PROD00009"", ""quantity"": 1, ""price"": 187.57}]","{""street"": ""2163 Main St"", ""city"": ""San Francisco"", ""zip"": ""38083""}",1487.87
ORD0000062,CUST000065,2023-11-06,"[{""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}]","{""street"": ""9102 Main St"", ""city"": ""San Francisco"", ""zip"": ""38123""}",1291.5
ORD0000063,CUST000097,2023-05-26,"[{""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}, {""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}, {""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}, {""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}]","{""street"": ""115 Main St"", ""city"": ""New York"", ""zip"": ""54667""}",1228.25
ORD0000064,CUST000071,2023-03-15,"[{""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}]","{""street"": ""826 Main St"", ""city"": ""Seattle"", ""zip"": ""24367""}",290.42
ORD0000065,CUST000023,2023-01-06,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}]","{""street"": ""5801 Main St"", ""city"": ""New York"", ""zip"": ""32446""}",1959.4
ORD0000066,CUST000093,2023-11-30,"[{""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}, {""product_id"": ""PROD00007"", ""quantity"": 3, ""price"": ""free""}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}]","{""street"": ""9664 Main St"", ""city"": ""Chicago"", ""zip"": ""85761""}",2093.78
ORD0000067,CUST000022,2023-02-05,"[{""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00009"", ""quantity"": 2, ""price"": 187.57}, {""product_id"": ""PROD00001"", ""quantity"": 2, ""price"": 5.32}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}]","{""street"": ""6464 Main St"", ""city"": ""Seattle"", ""zip"": ""53734""}",1374.77
ORD0000068,CUST000072,2023-01-14,"[{""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}]","{""street"": ""6631 Main St"", ""city"": ""Seattle"", ""zip"": ""73465""}",80.9
ORD0000069,CUST000033,2023-06-17,"[{""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}]","{""street"": ""7338 Main St"", ""city"": ""Chicago"", ""zip"": ""56209""}",740.04
ORD0000070,CUST000081,2023-08-08,"[{""product_id"": ""PROD00009"", ""quantity"": 3, ""price"": 187.57}]","{""street"": ""3560 Main St"", ""city"": ""Austin"", ""zip"": ""43886""}",562.71
ORD0000071,CUST000045,2023-07-30,"[{""product_id"": ""PROD00002"", ""quantity"": 3, ""price"": 59.11}, {""product_id"": ""PROD00010"", ""quantity"": 2, ""price"": ""free""}, {""product_id"": ""PROD00001"", ""quantity"": 3, ""price"": 5.32}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}, {""product_id"": ""PROD00007"", ""quantity"": 3, ""price"": 400.44}]","{""street"": ""9504 Main St"", ""city"": ""Chicago"", ""zip"": ""30491""}",1464.45
ORD0000072,CUST000016,2023-07-11,"[{""product_id"": ""PROD00002"", ""quantity"": 1, ""price"": 59.11}, {""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00001"", ""quantity"": 1, ""price"": 5.32}]","{""street"": ""2764 Main St"", ""city"": ""Chicago"", ""zip"": ""16590""}",1177.16
ORD0000073,CUST000060,2023-07-16,"[{""product_id"": ""PROD00005"", ""quantity"": 1, ""price"": 135.9}]","{""street"": ""7676 Main St"", ""city"": ""Seattle"", ""zip"": ""38596""}",135.9
ORD0000074,CUST000090,2023-10-15,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00006"", ""quantity"": 2, ""price"": 428.33}, {""product_id"": ""PROD00008"", ""quantity"": 3, ""price"": 40.45}, {""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}]","{""street"": ""6901 Main St"", ""city"": ""San Francisco"", ""zip"": ""16937""}",2498.44
ORD0000075,CUST000016,2023-04-16,"[{""product_id"": ""PROD00005"", ""quantity"": 3, ""price"": 135.9}, {""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}]","{""street"": ""2764 Main St"", ""city"": ""Chicago"", ""zip"": ""16590""}",1520.43
ORD0000076,CUST000005,2023-05-09,"[{""product_id"": ""PROD00008"", ""quantity"": 1, ""price"": 40.45}, {""product_id"": ""PROD00004"", ""quantity"": 1, ""price"": 69.84}, {""product_id"": ""PROD00003"", ""quantity"": 2, ""price"": 370.91}, {""product_id"": ""PROD00006"", ""quantity"": 1, ""price"": 428.33}, {""product_id"": ""PROD00008"", ""quantity"": 2, ""price"": 40.45}]","{""street"": ""4864 Main St"", ""city"": ""Austin"", ""zip"": ""33253""}",1361.34
ORD0000077,CUST000069,2023-06-05,"[{""product_id"": ""PROD00003"", ""quantity"": 3, ""price"": 370.91}, {""product_id"": ""PROD00006"", ""quantity"": 2, ""price"": 428.33}, {""product_id"": ""PROD00004"", ""quantity"": 3, ""price"": 69.84}, {""product_id"": ""PROD00005"", ""quantity"": 2, ""price"": 135.9}]","{""street"": ""7914 Main St"", ""city"": ""San Francisco"", ""zip"": ""69503""}",2450.71
ORD0000078,CUST000009,2023-01-01,"[{""product_id"": ""PROD00002"", ""quantity"": 2, ""price"": 59.11}]","{""street"": ""375 Main St"", ""city"": ""New York"", ""zip"": ""17837""}",118.22
